,method,llm_model,dataset,total_data,exact_match,accuracy,f1_mean,step_mean,time_mean
0,latest_adaptive,Gemma 3,indo_qa,3249,663,0.20406278855032317,0.20529393659587566,0.832256078793475,11.790704832256079
1,multi_retrieval,Gemma 3,indo_qa,975,18,0.018461538461538463,0.019487179487179488,2.825641025641026,127.68102564102564
2,non_retrieval,Gemma 3,indo_qa,975,13,0.013333333333333334,0.013333333333333334,0.0,2.124102564102564
3,single_retrieval,Gemma 3,indo_qa,975,252,0.25846153846153846,0.25846153846153846,1.0,4.1866666666666665
4,latest_adaptive,Gemma 3,qasina,499,147,0.29458917835671344,0.29458917835671344,0.9639278557114228,14.793587174348698
5,multi_retrieval,Gemma 3,qasina,499,37,0.07414829659318638,0.07414829659318638,4.593186372745491,179.28056112224448
6,non_retrieval,Gemma 3,qasina,499,9,0.018036072144288578,0.018036072144288578,0.0,1.6633266533066133
7,single_retrieval,Gemma 3,qasina,499,180,0.36072144288577157,0.36072144288577157,1.0,9.414829659318638
